year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
1950,historical,Southern Ocean,-10.48,-4.8,-6.36,2.27,4.58,"Year: 1950
Mean change: -4.8%
SD: ±4.6%"
1951,historical,Southern Ocean,-10.89,-6.01,-7.24,1.29,4.01,"Year: 1951
Mean change: -6%
SD: ±4%"
1952,historical,Southern Ocean,-6.31,-3.83,-4.24,1.02,2.37,"Year: 1952
Mean change: -3.8%
SD: ±2.4%"
1953,historical,Southern Ocean,-11.16,-4.88,-5.27,0.66,3.87,"Year: 1953
Mean change: -4.9%
SD: ±3.9%"
1954,historical,Southern Ocean,-7.06,-3.03,-2.9,0.81,2.52,"Year: 1954
Mean change: -3%
SD: ±2.5%"
1955,historical,Southern Ocean,-8.12,-3.43,-3.26,0.48,2.71,"Year: 1955
Mean change: -3.4%
SD: ±2.7%"
1956,historical,Southern Ocean,-6.77,-2.98,-2.76,-0.02,2.12,"Year: 1956
Mean change: -3%
SD: ±2.1%"
1957,historical,Southern Ocean,-9.96,-3.66,-3.71,0.48,3.24,"Year: 1957
Mean change: -3.7%
SD: ±3.2%"
1958,historical,Southern Ocean,-7.16,-3.44,-3.15,-0.23,2.55,"Year: 1958
Mean change: -3.4%
SD: ±2.5%"
1959,historical,Southern Ocean,-7.55,-4.09,-4.35,-0.75,2.35,"Year: 1959
Mean change: -4.1%
SD: ±2.4%"
1960,historical,Southern Ocean,-7.88,-2.36,-1.83,0.7,2.45,"Year: 1960
Mean change: -2.4%
SD: ±2.5%"
1961,historical,Southern Ocean,-8.27,-3.86,-3.6,-0.59,2.59,"Year: 1961
Mean change: -3.9%
SD: ±2.6%"
1962,historical,Southern Ocean,-8.64,-3.77,-4.18,0.17,2.67,"Year: 1962
Mean change: -3.8%
SD: ±2.7%"
1963,historical,Southern Ocean,-8.81,-2.11,-1.7,2.68,2.92,"Year: 1963
Mean change: -2.1%
SD: ±2.9%"
1964,historical,Southern Ocean,-8.99,-4.8,-4.84,-1.48,2.67,"Year: 1964
Mean change: -4.8%
SD: ±2.7%"
1965,historical,Southern Ocean,-9.22,-2.23,-1.66,1.4,2.76,"Year: 1965
Mean change: -2.2%
SD: ±2.8%"
1966,historical,Southern Ocean,-9.29,-3.3,-2.95,0.29,2.88,"Year: 1966
Mean change: -3.3%
SD: ±2.9%"
1967,historical,Southern Ocean,-9.44,-3.02,-2.18,-0.04,2.99,"Year: 1967
Mean change: -3%
SD: ±3%"
1968,historical,Southern Ocean,-9.58,-3.07,-2.38,0.79,3.23,"Year: 1968
Mean change: -3.1%
SD: ±3.2%"
1969,historical,Southern Ocean,-9.51,-2.72,-2.58,2.76,3.95,"Year: 1969
Mean change: -2.7%
SD: ±4%"
1970,historical,Southern Ocean,-9.52,-2.91,-2.68,1.34,3.19,"Year: 1970
Mean change: -2.9%
SD: ±3.2%"
1971,historical,Southern Ocean,-9.65,-2.42,-1.25,2.13,4.31,"Year: 1971
Mean change: -2.4%
SD: ±4.3%"
1972,historical,Southern Ocean,-9.8,-1.64,-0.89,4.23,4.06,"Year: 1972
Mean change: -1.6%
SD: ±4.1%"
1973,historical,Southern Ocean,-9.74,-3.8,-3.39,0.81,3.52,"Year: 1973
Mean change: -3.8%
SD: ±3.5%"
1974,historical,Southern Ocean,-9.48,-4.92,-4.35,0.05,3.53,"Year: 1974
Mean change: -4.9%
SD: ±3.5%"
1975,historical,Southern Ocean,-9.35,-4.43,-4.28,-0.36,3.02,"Year: 1975
Mean change: -4.4%
SD: ±3%"
1976,historical,Southern Ocean,-9.15,-3.07,-3.03,-0.36,2.73,"Year: 1976
Mean change: -3.1%
SD: ±2.7%"
1977,historical,Southern Ocean,-8.86,-3.61,-3.05,-0.8,2.69,"Year: 1977
Mean change: -3.6%
SD: ±2.7%"
1978,historical,Southern Ocean,-8.44,-3.32,-3.02,0.24,2.9,"Year: 1978
Mean change: -3.3%
SD: ±2.9%"
1979,historical,Southern Ocean,-8.08,-2.02,-1.28,0.08,2.33,"Year: 1979
Mean change: -2%
SD: ±2.3%"
1980,historical,Southern Ocean,-7.76,-1.99,-1.47,0.78,2.3,"Year: 1980
Mean change: -2%
SD: ±2.3%"
1981,historical,Southern Ocean,-7.28,-2.77,-1.96,-0.39,2.27,"Year: 1981
Mean change: -2.8%
SD: ±2.3%"
1982,historical,Southern Ocean,-8.08,-4.33,-4.44,-0.39,2.43,"Year: 1982
Mean change: -4.3%
SD: ±2.4%"
1983,historical,Southern Ocean,-7.12,-3.39,-2.12,-0.45,2.65,"Year: 1983
Mean change: -3.4%
SD: ±2.6%"
1984,historical,Southern Ocean,-6.63,-1.9,-1.29,0.57,2.64,"Year: 1984
Mean change: -1.9%
SD: ±2.6%"
1985,historical,Southern Ocean,-6.15,-2.65,-3.07,0.95,2.25,"Year: 1985
Mean change: -2.6%
SD: ±2.2%"
1986,historical,Southern Ocean,-8.19,-2.17,-2.23,2.59,3.69,"Year: 1986
Mean change: -2.2%
SD: ±3.7%"
1987,historical,Southern Ocean,-4.61,-1.87,-2.36,2.92,2.52,"Year: 1987
Mean change: -1.9%
SD: ±2.5%"
1988,historical,Southern Ocean,-4.44,-0.96,-1.66,4.37,3.19,"Year: 1988
Mean change: -1%
SD: ±3.2%"
1989,historical,Southern Ocean,-4.22,-0.93,-1.01,4.37,2.99,"Year: 1989
Mean change: -0.9%
SD: ±3%"
1990,historical,Southern Ocean,-4.62,-0.33,-2.06,5.76,3.48,"Year: 1990
Mean change: -0.3%
SD: ±3.5%"
1991,historical,Southern Ocean,-3.23,-0.14,-0.94,5.56,3.12,"Year: 1991
Mean change: -0.1%
SD: ±3.1%"
1992,historical,Southern Ocean,-5.1,-1.36,-3.1,6.25,4.11,"Year: 1992
Mean change: -1.4%
SD: ±4.1%"
1993,historical,Southern Ocean,-5.83,-0.41,-1.2,5.48,3.79,"Year: 1993
Mean change: -0.4%
SD: ±3.8%"
1994,historical,Southern Ocean,-4.4,-0.73,-1.32,4.31,3.02,"Year: 1994
Mean change: -0.7%
SD: ±3%"
1995,historical,Southern Ocean,-3.11,-0.21,-0.46,3.84,2.43,"Year: 1995
Mean change: -0.2%
SD: ±2.4%"
1996,historical,Southern Ocean,-5.61,-2.07,-2.55,2.96,2.69,"Year: 1996
Mean change: -2.1%
SD: ±2.7%"
1997,historical,Southern Ocean,-4.66,-0.87,-0.9,2.78,2.61,"Year: 1997
Mean change: -0.9%
SD: ±2.6%"
1998,historical,Southern Ocean,-3.32,-0.93,-1.02,2.35,1.76,"Year: 1998
Mean change: -0.9%
SD: ±1.8%"
1999,historical,Southern Ocean,-3.36,-0.6,-0.71,1.77,1.56,"Year: 1999
Mean change: -0.6%
SD: ±1.6%"
2000,historical,Southern Ocean,-4.51,-1.45,-1.74,1.56,1.98,"Year: 2000
Mean change: -1.4%
SD: ±2%"
2001,historical,Southern Ocean,-3.32,-0.04,0.84,3.4,2.45,"Year: 2001
Mean change: 0%
SD: ±2.5%"
2002,historical,Southern Ocean,-3.15,0.43,0.95,1.62,1.52,"Year: 2002
Mean change: 0.4%
SD: ±1.5%"
2003,historical,Southern Ocean,-6.95,-1.86,-1.73,1,2.61,"Year: 2003
Mean change: -1.9%
SD: ±2.6%"
2004,historical,Southern Ocean,-5.35,-2,-1.89,0.73,2.08,"Year: 2004
Mean change: -2%
SD: ±2.1%"
2005,historical,Southern Ocean,-4.62,-1.66,-1.83,0.04,1.39,"Year: 2005
Mean change: -1.7%
SD: ±1.4%"
2006,historical,Southern Ocean,-5.79,-1.52,-0.39,0.1,1.96,"Year: 2006
Mean change: -1.5%
SD: ±2%"
2007,historical,Southern Ocean,-3.86,0.67,0.72,4.19,2.34,"Year: 2007
Mean change: 0.7%
SD: ±2.3%"
2008,historical,Southern Ocean,-2.3,0.41,0.55,2.39,1.39,"Year: 2008
Mean change: 0.4%
SD: ±1.4%"
2009,historical,Southern Ocean,0.17,1.76,1.13,4.24,1.53,"Year: 2009
Mean change: 1.8%
SD: ±1.5%"
2010,historical,Southern Ocean,-3.11,1.05,0.78,4.67,2.76,"Year: 2010
Mean change: 1%
SD: ±2.8%"
2011,historical,Southern Ocean,-3.09,-0.26,0.01,2.96,1.85,"Year: 2011
Mean change: -0.3%
SD: ±1.9%"
2012,historical,Southern Ocean,-1.87,0.06,0.19,1.53,1.22,"Year: 2012
Mean change: 0.1%
SD: ±1.2%"
2013,historical,Southern Ocean,-3.72,-0.22,-0.18,2.57,2,"Year: 2013
Mean change: -0.2%
SD: ±2%"
2014,historical,Southern Ocean,-2.16,-0.29,-0.06,1.54,1.28,"Year: 2014
Mean change: -0.3%
SD: ±1.3%"
2015,ssp126,Southern Ocean,-2.9,-0.93,-1.28,1.68,1.53,"Year: 2015
Mean change: -0.9%
SD: ±1.5%"
2015,ssp585,Southern Ocean,-4.8,-1.12,-0.88,1.54,2.07,"Year: 2015
Mean change: -1.1%
SD: ±2.1%"
2016,ssp126,Southern Ocean,-1.16,-0.28,-0.61,1.53,1,"Year: 2016
Mean change: -0.3%
SD: ±1%"
2016,ssp585,Southern Ocean,-5.83,-2.31,-2.06,1.47,2.48,"Year: 2016
Mean change: -2.3%
SD: ±2.5%"
2017,ssp126,Southern Ocean,-6.62,-3.18,-3.5,1.18,2.87,"Year: 2017
Mean change: -3.2%
SD: ±2.9%"
2017,ssp585,Southern Ocean,-3.18,-0.67,-0.8,1.4,1.6,"Year: 2017
Mean change: -0.7%
SD: ±1.6%"
2018,ssp126,Southern Ocean,-6.53,-3.29,-2.56,0.77,2.54,"Year: 2018
Mean change: -3.3%
SD: ±2.5%"
2018,ssp585,Southern Ocean,-2.48,-0.21,-0.3,2.39,1.73,"Year: 2018
Mean change: -0.2%
SD: ±1.7%"
2019,ssp126,Southern Ocean,-5.3,-2.34,-2.27,0.05,1.57,"Year: 2019
Mean change: -2.3%
SD: ±1.6%"
2019,ssp585,Southern Ocean,-2.34,-0.15,-0.57,3.46,1.81,"Year: 2019
Mean change: -0.1%
SD: ±1.8%"
2020,ssp126,Southern Ocean,-3.87,-1.45,-1.04,-0.41,1.1,"Year: 2020
Mean change: -1.4%
SD: ±1.1%"
2020,ssp585,Southern Ocean,-6.37,-1.94,-2,3.04,2.77,"Year: 2020
Mean change: -1.9%
SD: ±2.8%"
2021,ssp126,Southern Ocean,-5.69,-1.47,-0.93,1.39,2.09,"Year: 2021
Mean change: -1.5%
SD: ±2.1%"
2021,ssp585,Southern Ocean,-6.1,-0.58,-0.68,5.2,3.91,"Year: 2021
Mean change: -0.6%
SD: ±3.9%"
2022,ssp126,Southern Ocean,-6.7,-2.14,-1.63,-0.02,2.16,"Year: 2022
Mean change: -2.1%
SD: ±2.2%"
2022,ssp585,Southern Ocean,-1.88,-0.15,-0.77,3.58,1.78,"Year: 2022
Mean change: -0.1%
SD: ±1.8%"
2023,ssp126,Southern Ocean,-6.74,-2.77,-2.16,1.4,2.62,"Year: 2023
Mean change: -2.8%
SD: ±2.6%"
2023,ssp585,Southern Ocean,-3.56,-0.79,-0.88,2.62,1.8,"Year: 2023
Mean change: -0.8%
SD: ±1.8%"
2024,ssp126,Southern Ocean,-5.18,-2.37,-2.06,0.78,2.05,"Year: 2024
Mean change: -2.4%
SD: ±2%"
2024,ssp585,Southern Ocean,-1.7,-0.2,-0.3,1.62,1.13,"Year: 2024
Mean change: -0.2%
SD: ±1.1%"
2025,ssp126,Southern Ocean,-7.56,-3.31,-3.28,1.04,2.52,"Year: 2025
Mean change: -3.3%
SD: ±2.5%"
2025,ssp585,Southern Ocean,-1.6,0.86,1.02,4.3,1.8,"Year: 2025
Mean change: 0.9%
SD: ±1.8%"
2026,ssp126,Southern Ocean,-5.78,-2.37,-2.01,0.79,2.21,"Year: 2026
Mean change: -2.4%
SD: ±2.2%"
2026,ssp585,Southern Ocean,-3.61,-1.44,-1.94,1.81,1.96,"Year: 2026
Mean change: -1.4%
SD: ±2%"
2027,ssp126,Southern Ocean,-4.57,-2.12,-1.62,-0.84,1.21,"Year: 2027
Mean change: -2.1%
SD: ±1.2%"
2027,ssp585,Southern Ocean,-3.88,-1.45,-1.96,2.29,2.13,"Year: 2027
Mean change: -1.4%
SD: ±2.1%"
2028,ssp126,Southern Ocean,-4.13,-1.15,-1.95,4.32,2.73,"Year: 2028
Mean change: -1.1%
SD: ±2.7%"
2028,ssp585,Southern Ocean,-1.82,0.53,-0.04,3.25,1.74,"Year: 2028
Mean change: 0.5%
SD: ±1.7%"
2029,ssp126,Southern Ocean,-3.06,-0.94,-1.25,1.1,1.54,"Year: 2029
Mean change: -0.9%
SD: ±1.5%"
2029,ssp585,Southern Ocean,-3.08,-0.79,-1.18,3.17,2.01,"Year: 2029
Mean change: -0.8%
SD: ±2%"
2030,ssp126,Southern Ocean,-4.78,-2.16,-2.78,4.16,2.49,"Year: 2030
Mean change: -2.2%
SD: ±2.5%"
2030,ssp585,Southern Ocean,-5.66,-1.18,-1.31,1.94,2.16,"Year: 2030
Mean change: -1.2%
SD: ±2.2%"
2031,ssp126,Southern Ocean,-4.26,-1.74,-2.4,4.58,2.53,"Year: 2031
Mean change: -1.7%
SD: ±2.5%"
2031,ssp585,Southern Ocean,-7.42,-2.27,-1.65,1.36,2.72,"Year: 2031
Mean change: -2.3%
SD: ±2.7%"
2032,ssp126,Southern Ocean,-3.84,-1.11,-1.18,2.43,2.4,"Year: 2032
Mean change: -1.1%
SD: ±2.4%"
2032,ssp585,Southern Ocean,-5.2,-2.74,-2.6,0.58,1.75,"Year: 2032
Mean change: -2.7%
SD: ±1.8%"
2033,ssp126,Southern Ocean,-4.41,-2.09,-2.42,1.09,1.91,"Year: 2033
Mean change: -2.1%
SD: ±1.9%"
2033,ssp585,Southern Ocean,-4.55,-2.17,-2.39,1.78,2,"Year: 2033
Mean change: -2.2%
SD: ±2%"
2034,ssp126,Southern Ocean,-3.39,-1.25,-1.54,2.48,1.66,"Year: 2034
Mean change: -1.2%
SD: ±1.7%"
2034,ssp585,Southern Ocean,-5.12,-2.03,-2.14,1.52,2.2,"Year: 2034
Mean change: -2%
SD: ±2.2%"
2035,ssp126,Southern Ocean,-5.17,-2.4,-3.18,3.54,2.5,"Year: 2035
Mean change: -2.4%
SD: ±2.5%"
2035,ssp585,Southern Ocean,-2.93,-1.2,-1.56,1.57,1.33,"Year: 2035
Mean change: -1.2%
SD: ±1.3%"
2036,ssp126,Southern Ocean,-3.38,-0.71,-1.51,4.37,2.6,"Year: 2036
Mean change: -0.7%
SD: ±2.6%"
2036,ssp585,Southern Ocean,-2.68,-1.04,-1.84,1.6,1.56,"Year: 2036
Mean change: -1%
SD: ±1.6%"
2037,ssp126,Southern Ocean,-3.26,-1.26,-1.38,1.55,1.67,"Year: 2037
Mean change: -1.3%
SD: ±1.7%"
2037,ssp585,Southern Ocean,-2.62,-0.65,-1.13,3,1.86,"Year: 2037
Mean change: -0.7%
SD: ±1.9%"
2038,ssp126,Southern Ocean,-5.79,-1.43,-1.68,3.31,2.52,"Year: 2038
Mean change: -1.4%
SD: ±2.5%"
2038,ssp585,Southern Ocean,-4.39,-1.3,-1.51,1.39,1.99,"Year: 2038
Mean change: -1.3%
SD: ±2%"
2039,ssp126,Southern Ocean,-4.02,-1.09,-1.66,4.51,2.65,"Year: 2039
Mean change: -1.1%
SD: ±2.6%"
2039,ssp585,Southern Ocean,-6.74,-1.99,-2.12,1.11,2.57,"Year: 2039
Mean change: -2%
SD: ±2.6%"
2040,ssp126,Southern Ocean,-5.01,-1,-2.58,4.03,3.52,"Year: 2040
Mean change: -1%
SD: ±3.5%"
2040,ssp585,Southern Ocean,-7.34,-2.39,-2.46,3.59,3.32,"Year: 2040
Mean change: -2.4%
SD: ±3.3%"
